"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkön kulutus Suomessa"
"2010-01-03 03:00:00","2010-01-03 04:00:00","2010-01-03 05:00:00","2010-01-03 06:00:00","11220.0"
"2010-01-03 04:00:00","2010-01-03 05:00:00","2010-01-03 06:00:00","2010-01-03 07:00:00","11287.0"
"2010-01-03 05:00:00","2010-01-03 06:00:00","2010-01-03 07:00:00","2010-01-03 08:00:00","11190.0"
"2010-01-03 06:00:00","2010-01-03 07:00:00","2010-01-03 08:00:00","2010-01-03 09:00:00","11400.0"
"2010-01-03 07:00:00","2010-01-03 08:00:00","2010-01-03 09:00:00","2010-01-03 10:00:00","11435.0"
"2010-01-03 08:00:00","2010-01-03 09:00:00","2010-01-03 10:00:00","2010-01-03 11:00:00","11571.0"
"2010-01-03 09:00:00","2010-01-03 10:00:00","2010-01-03 11:00:00","2010-01-03 12:00:00","11705.0"
"2010-01-03 10:00:00","2010-01-03 11:00:00","2010-01-03 12:00:00","2010-01-03 13:00:00","11687.0"
"2010-01-03 11:00:00","2010-01-03 12:00:00","2010-01-03 13:00:00","2010-01-03 14:00:00","11597.0"
"2010-01-03 12:00:00","2010-01-03 13:00:00","2010-01-03 14:00:00","2010-01-03 15:00:00","11548.0"
"2010-01-03 13:00:00","2010-01-03 14:00:00","2010-01-03 15:00:00","2010-01-03 16:00:00","11733.0"
"2010-01-03 14:00:00","2010-01-03 15:00:00","2010-01-03 16:00:00","2010-01-03 17:00:00","12156.0"
"2010-01-03 15:00:00","2010-01-03 16:00:00","2010-01-03 17:00:00","2010-01-03 18:00:00","12212.0"
"2010-01-03 16:00:00","2010-01-03 17:00:00","2010-01-03 18:00:00","2010-01-03 19:00:00","12170.0"
"2010-01-03 17:00:00","2010-01-03 18:00:00","2010-01-03 19:00:00","2010-01-03 20:00:00","12085.0"
"2010-01-03 18:00:00","2010-01-03 19:00:00","2010-01-03 20:00:00","2010-01-03 21:00:00","11879.0"
"2010-01-03 19:00:00","2010-01-03 20:00:00","2010-01-03 21:00:00","2010-01-03 22:00:00","11541.0"
"2010-01-03 20:00:00","2010-01-03 21:00:00","2010-01-03 22:00:00","2010-01-03 23:00:00","11940.0"
"2010-01-03 21:00:00","2010-01-03 22:00:00","2010-01-03 23:00:00","2010-01-04 00:00:00","11686.0"
"2010-01-03 22:00:00","2010-01-03 23:00:00","2010-01-04 00:00:00","2010-01-04 01:00:00","11149.0"
"2010-01-03 23:00:00","2010-01-04 00:00:00","2010-01-04 01:00:00","2010-01-04 02:00:00","10755.0"
"2010-01-04 00:00:00","2010-01-04 01:00:00","2010-01-04 02:00:00","2010-01-04 03:00:00","10564.0"
"2010-01-04 01:00:00","2010-01-04 02:00:00","2010-01-04 03:00:00","2010-01-04 04:00:00","10496.0"
"2010-01-04 02:00:00","2010-01-04 03:00:00","2010-01-04 04:00:00","2010-01-04 05:00:00","10557.0"
"2010-01-04 03:00:00","2010-01-04 04:00:00","2010-01-04 05:00:00","2010-01-04 06:00:00","10912.0"
"2010-01-04 04:00:00","2010-01-04 05:00:00","2010-01-04 06:00:00","2010-01-04 07:00:00","11696.0"
"2010-01-04 05:00:00","2010-01-04 06:00:00","2010-01-04 07:00:00","2010-01-04 08:00:00","12117.0"
"2010-01-04 06:00:00","2010-01-04 07:00:00","2010-01-04 08:00:00","2010-01-04 09:00:00","12440.0"
"2010-01-04 07:00:00","2010-01-04 08:00:00","2010-01-04 09:00:00","2010-01-04 10:00:00","12334.0"
"2010-01-04 08:00:00","2010-01-04 09:00:00","2010-01-04 10:00:00","2010-01-04 11:00:00","12232.0"
"2010-01-04 09:00:00","2010-01-04 10:00:00","2010-01-04 11:00:00","2010-01-04 12:00:00","12185.0"
