"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkön kulutus Suomessa"
"2010-12-31 22:00:00","2010-12-31 23:00:00","2011-01-01 00:00:00","2011-01-01 01:00:00","10797.0"
"2010-12-31 23:00:00","2011-01-01 00:00:00","2011-01-01 01:00:00","2011-01-01 02:00:00","10369.0"
"2011-01-01 00:00:00","2011-01-01 01:00:00","2011-01-01 02:00:00","2011-01-01 03:00:00","10021.0"
"2011-01-01 01:00:00","2011-01-01 02:00:00","2011-01-01 03:00:00","2011-01-01 04:00:00","9808.0"
"2011-01-01 02:00:00","2011-01-01 03:00:00","2011-01-01 04:00:00","2011-01-01 05:00:00","9681.0"
"2011-01-01 03:00:00","2011-01-01 04:00:00","2011-01-01 05:00:00","2011-01-01 06:00:00","9691.0"
"2011-01-01 04:00:00","2011-01-01 05:00:00","2011-01-01 06:00:00","2011-01-01 07:00:00","9719.0"
"2011-01-01 05:00:00","2011-01-01 06:00:00","2011-01-01 07:00:00","2011-01-01 08:00:00","9579.0"
"2011-01-01 06:00:00","2011-01-01 07:00:00","2011-01-01 08:00:00","2011-01-01 09:00:00","9752.0"
"2011-01-01 07:00:00","2011-01-01 08:00:00","2011-01-01 09:00:00","2011-01-01 10:00:00","9751.0"
"2011-01-01 08:00:00","2011-01-01 09:00:00","2011-01-01 10:00:00","2011-01-01 11:00:00","9732.0"
"2011-01-01 09:00:00","2011-01-01 10:00:00","2011-01-01 11:00:00","2011-01-01 12:00:00","9950.0"
"2011-01-01 10:00:00","2011-01-01 11:00:00","2011-01-01 12:00:00","2011-01-01 13:00:00","10146.0"
"2011-01-01 11:00:00","2011-01-01 12:00:00","2011-01-01 13:00:00","2011-01-01 14:00:00","10218.0"
"2011-01-01 12:00:00","2011-01-01 13:00:00","2011-01-01 14:00:00","2011-01-01 15:00:00","10386.0"
"2011-01-01 13:00:00","2011-01-01 14:00:00","2011-01-01 15:00:00","2011-01-01 16:00:00","10767.0"
"2011-01-01 14:00:00","2011-01-01 15:00:00","2011-01-01 16:00:00","2011-01-01 17:00:00","11183.0"
